content,score,reviewCreatedVersion,at
Mantap gk perlu repot² lagi nyari angkot atau kalo mau pesan makanan tinggal tunggu depan rumah,5,4.48.1,2025-05-27 08:22:42
Bagus,5,5.19.2,2025-05-27 08:17:52
aplikasi aneh top up gk masuk masuk notif doang masuk,1,5.19.2,2025-05-27 08:16:46
nyaman,5,5.19.2,2025-05-27 08:11:13
saya isi saldo 30.000 laporan nya ada saldonya gak masuk,3,5.18.2,2025-05-27 08:04:53
isi saldo goopay saldo direkening sudah terpotong..riwat saldo berhasil tetapi saldo tidak masuk..sudah laporan hasil nihil woy solusinya lahhhh,1,5.19.2,2025-05-27 08:01:53
josss bisa diandalkan aplikasi nya,5,5.19.2,2025-05-27 08:01:30
isi saldo udah ada riwayat nya tapi saldo ga nambah !!!!!!!!!!!!!!!!!!!!,1,5.19.2,2025-05-27 07:56:01
"tolong dong, ini ngisi saldo udah berhasil di transfer. udah ada notifikasi nya. tapi di aplikasi ga nambah sama sekali. solusinya dong",1,5.19.2,2025-05-27 07:55:41
"ngasih order untuk driver gak adil curang ,giliran ujan akun yg jarang dpt baru dikasih aplikasi jelek",1,5.14.2,2025-05-27 07:54:25
ini gojek kenapa y? saya topup 50rb tp kenapa g masuk. padahal notif d gojek ny uda ada saldo masuk 50.000 tapi angka saldo nya tetap ga berubah. masih sama kayak sebelum topup. ini uangnya nyangkut di mana ya??,2,5.19.2,2025-05-27 07:53:36
"dear gojek, tolong dong saya sudah TF TAPI HANYA NOTIP DOANG YG MASUK, SALDO NYA KAGAKKK BERUBAH TOLONG DONG DITINDAK LANJUTTTT, ITU DUIT BUKAN DAUN MAKASIH 🙏",2,5.12.1,2025-05-27 07:52:27
baik,5,5.18.2,2025-05-27 07:52:09
"brengsek, ngisi saldo gk masuk2, udh tau urgent, dikolom bantuan bilangnya topup masuk saldo bisa sampe 2 hari di hari kerja,, hellooo gimn klo yg urgent disuruh nunggu 2 hari??",1,5.19.2,2025-05-27 07:51:10
woiii kok top up saldo GO-PAY nya tidak masuk masuk?!,1,5.19.2,2025-05-27 07:48:47
aplkasi sering lolot,1,5.19.2,2025-05-27 07:46:51
truly satisfied,5,5.19.2,2025-05-27 07:45:33
"kenapa saya top up gopay kadang masuk kadang enggak? sudah saya update, saya log out tetep saja. bagaimana ini?",1,5.19.2,2025-05-27 07:45:20
"bagusss ,",5,5.14.2,2025-05-27 07:42:41
sangat baik semoga banyak dapat penumpang 😇🙏,5,5.10.1,2025-05-27 07:42:20
ih kesel lagi akhir bulan saldo pas pasan isi gopay buat naik goride malah belum masuk diriwayat transaksi nya mah udah masuk kok tp saldo ga bertambah kesel banget aplikasi sekelas gojek aja bisa se ga buat nyaman pengguna nya,1,5.18.2,2025-05-27 07:39:58
udah langganan jadi ga pernah kecewa,5,5.19.2,2025-05-27 07:39:51
"aplikasi eror,udh capek"" top up 40rb eh bukannnya berkurang mines nya malah tetap di bikinn aplikasi nya ,",1,5.19.2,2025-05-27 07:35:01
Alhamdulillah,5,5.18.2,2025-05-27 07:31:42
isi saldo gopay tidak masuk,1,5.19.2,2025-05-27 07:29:12
"isi saldo, dana terpotong, riwayat di gojek masuk. tapi saldo tidak terakumulasi dan disuruh menunggu 2 hari. sangat payah",1,5.19.2,2025-05-27 07:29:05
good applicator,5,5.19.2,2025-05-27 07:27:28
gabisa digunakan,1,4.76.2,2025-05-27 07:26:51
mantap,5,5.19.2,2025-05-27 07:26:26
bermanfaat,5,5.19.2,2025-05-27 07:20:40
makin lama makin apk sampah ini..isi saldo ada pemberitahuan masuk.tapi saldonya ga masuk.menjijikkan.!!,1,5.12.1,2025-05-27 07:15:48
membantu sekali,5,5.19.2,2025-05-27 07:09:21
"bantu dong topup gopay sudah masuk tapi saldo ga berubah, kenapa aneh bgt",1,5.19.2,2025-05-27 07:05:30
"mantap pengemudi nya orang tua tapi masih mau bekerja , ramah dan sopan",5,5.19.2,2025-05-27 06:57:42
Terima Kasih sua membantu mempercepat perjalanan kami,5,4.65.2,2025-05-27 06:52:50
mantap,4,5.19.2,2025-05-27 06:49:10
Ok Punya....,5,5.19.2,2025-05-27 06:47:43
menjadi system transportasi yg kredibel..terus tingkatkan kenyamanan dan keamanan ..,5,5.19.2,2025-05-27 06:47:15
memvantu,5,5.19.2,2025-05-27 06:46:52
ok...,5,5.19.2,2025-05-27 06:26:58
memuaskan,5,5.14.2,2025-05-27 06:25:16
nice,5,5.19.2,2025-05-27 06:24:39
pokoknya ok banget,5,5.19.2,2025-05-27 06:22:03
saya hari ini ditabrak oleh pengemudi gojek. bapak2 tua. tapi plat nomor belakang motor tidak ada. disini bisa dilihat betapa jeleknya kualitas driver gojek,1,5.18.2,2025-05-27 06:07:25
good,5,5.18.2,2025-05-27 06:02:32
sudah nunggu pesanan gofood 1 jam tiba2 dibatalkan oleh sistem. buang2 waktu. bikin malu sama tamu.,1,5.19.2,2025-05-27 05:45:58
bagus,5,5.19.2,2025-05-27 05:43:34
udah order gofood nunggu 1 jam ternyata dibatalin,1,5.18.2,2025-05-27 05:36:44
mantap..driver asyik,5,5.18.2,2025-05-27 05:33:41
deabakkk,5,5.19.2,2025-05-27 05:29:03
sangat susah dpt driver gofood.,1,5.19.2,2025-05-27 05:27:12
pokok e top pakai gojek,5,5.19.2,2025-05-27 05:26:28
"mohon maaf sebelumnya, tolong banget ya untuk gojek , saya pesen gofood tapi lama banget dapet driver nya sampe 1 jam lebih belum juga dapet driver . tolong di perbaiki , kalo kaya gini lama lama orang males pesen lewat go food",1,5.19.2,2025-05-27 05:22:17
"kita pesan gofood tidak bisa cancel, dari gojek secara se pihak cancel pesanan padahal udah tunggu 1 jam, sangat tidak berkeadilan rusak ini gojek.",1,5.19.2,2025-05-27 05:17:54
"safety, comfot",5,5.18.2,2025-05-27 05:16:32
Promonya kurang,1,5.19.2,2025-05-27 05:12:44
"Aku dh nunggu Gofood 1jam lebih, tapi.. MALAH DI CANSEL sm pihak Gofoodnya KOK BISA GITU YAHHHH?!!! Bahkan aku beli lagi, trus nunggu lagi tetep di cansel. udh beberapa kali terjadi kasus kya gituuuuuu!!! Mana delaynya lamaaaaa!!!",1,5.19.2,2025-05-27 05:05:24
baik d ramah,5,5.19.2,2025-05-27 05:01:38
"Drivernya pada males anjirrr, nganter go food ajaa dapet nya sampe 2jam telat.. Tiap pesen pasti selalu telat gapernah sesuai estimasinya",1,5.19.2,2025-05-27 04:59:08
sangat membantu dan pemakaian simpel 👍❤️,5,5.12.1,2025-05-27 04:50:48
"gopay laternya sekarang tdk bisa di buat listrik pascabayar. gak guna sama sekali sekarang masukin nomer meter pln tdk bisa. disuruh cek terus. padahal sudah benar"" gk guna. unistal saja pindah ke aplikasi sebelah.. lebih untung",1,5.19.2,2025-05-27 04:49:48
ok,5,5.19.2,2025-05-27 04:44:39
perkiraan waktu terlalu lama ! bener2 gak sesuai ! mau chat CS untuk kendala gak dapet2 driver kok gak bisa ? maaf kami keburu laper jika ditunda terlalu lama 🙏,2,5.12.1,2025-05-27 04:42:35
"pesen gofood, kalau ada masalah dalam status tidak berunah, ga bisa ngechat kendala kita atau hub resto...chat cs pake template tapi kendala yang kita alamai ga ada ditemplate..payah",1,5.19.2,2025-05-27 04:40:31
aplikasi layanannya makin buruk..susah sekali utk dapat driver..dan kebanyakan jual mahal para driver ojolnya,2,5.19.2,2025-05-27 04:36:43
mantap,5,5.19.2,2025-05-27 04:32:03
oke,5,5.19.2,2025-05-27 04:31:01
buruk,1,5.18.2,2025-05-27 04:30:15
mantap,5,5.18.2,2025-05-27 04:15:59
"setiap pembelian gofood, selalu telat GK tepat waktu. GK bisa dibatalkan karna GK mau rugi, kali GK mo rugi ya konsisten donk tepat waktu. klo begini costumer yg dirugikan. gk recomed bngt kusus buat gofood.",1,5.19.2,2025-05-27 04:11:20
bagus,5,4.43.1,2025-05-27 03:59:21
respon cepat,5,5.19.2,2025-05-27 03:56:38
ok,5,5.19.2,2025-05-27 03:47:59
"mantab,sangat membantu",5,5.19.2,2025-05-27 03:32:58
bagus,5,5.18.2,2025-05-27 03:29:33
gojek bagus,5,5.19.2,2025-05-27 03:21:28
sangat membantu dan bisa pesan ap aj tinggal nungguh drmah di anter sma abng ojol depan pintu hehee,5,5.18.2,2025-05-27 03:15:31
Bagua,3,5.19.2,2025-05-27 03:05:38
Cukup puas,5,4.96.2,2025-05-27 03:04:38
sangat bagus dan nyaman,5,5.19.2,2025-05-27 02:54:24
"KENAPA INI CUMA AKUN KU YG GAK ADA PROMO GO FOOD, KUCEK SEMUA AKUN TEMAN SEKANTOR SEMUA ADA PROMO NYA. APA SALAHKU SAMA KALIAN. PADAHAL AKU PALING SERING BELI FOOD DARI GOJEK DARI PADA DARI SHOPEE.",1,5.19.2,2025-05-27 02:50:20
membantu sekali....saya suka saya suka ...betul betul betul,5,5.18.2,2025-05-27 02:43:51
setelah di update malah makin downgrade menurutku. ga bisa search resto yang masih tutup. kan minimal masih bisa liat menu2nya. balikin aja kaya kemaren. baru kali ini komen di rating krn emng jadi nyusahin.,2,5.18.2,2025-05-27 02:35:40
gojek cukup bagus dan membantu banget,5,5.19.2,2025-05-27 02:23:44
okok,4,5.19.2,2025-05-27 01:58:12
bagus,5,5.19.2,2025-05-27 01:52:36
oke banget,5,5.18.2,2025-05-27 01:09:22
membantu,5,5.19.2,2025-05-27 01:06:38
ok,5,5.19.2,2025-05-27 01:04:52
"Bagus naik ojek mengurangi kemacetan. Bagusnya kalau topup saldo tidak ada biaya admin, dimana isi saldo gopay gak kena biaya.",5,5.19.2,2025-05-27 00:52:50
segala sesuatu lebih mudah.,5,5.18.2,2025-05-27 00:36:42
bagus,5,5.14.2,2025-05-27 00:26:56
ok,5,5.18.2,2025-05-27 00:23:50
keren tp mas agak kurang krn kelewatan biasanya,5,5.19.2,2025-05-27 00:21:51
tepat wkt,5,5.18.2,2025-05-27 00:14:30
app mantul,5,5.19.2,2025-05-27 00:14:28
terimakasih,5,5.19.2,2025-05-27 00:06:16
"tapi kenapa gojek ny selalu kasih rating jlek ke saya , padahal saya memakai golek sudah hampir 7 tahun walau suka ganti2 akun. saya ngasih rating ke golek selalu bagus pdhl. nyebelin pegawai gojek ny... tau gt gk aku kasih bintang",4,5.19.2,2025-05-26 23:49:34
sangat membantu bagi yg g punya motor kaya saya hehehe good job dah pokoknya,5,5.18.2,2025-05-26 23:39:32
aplikasi terbaik,5,5.19.2,2025-05-26 23:09:11
seneng pakai gojek karena lebih mudah ke tempat kerja tanpa ribet,5,5.18.2,2025-05-26 22:58:05
good,5,5.19.2,2025-05-26 21:00:24
"Ga mikir,, ga kasian driver nya... Mesen gocar nya dimana driver nya jauh banget... Orang mah prioritasin yg terdekat dlu sama aneh system gofood nya ketika order ke klik langsung ga bisa di cancel... harusnya kasih jeda dlu... saya pernah ga sengaja kepencet order padahal ga order... akhirnya ga bisa di batalkan... mau ga mau terpaksa saya bayar orderannya",1,5.18.2,2025-05-26 20:30:40
nyaman & praktis,5,4.94.2,2025-05-26 18:49:30
cepet,5,5.19.2,2025-05-26 18:33:21
melengkapi kebutuhan kendaraan,5,5.18.2,2025-05-26 18:15:22
"Srg pesen gofood yg instan, tpi sama aja datengnya lama. tolong perbaiki lagi min",3,5.19.2,2025-05-26 17:57:59
mntao,5,5.19.2,2025-05-26 17:20:27
"kasian para mitra yg lu potong gede, auto Bintang 1",1,5.19.2,2025-05-26 17:08:38
bagus,5,5.19.2,2025-05-26 16:37:32
Good,5,5.19.2,2025-05-26 16:01:23
mantap,5,5.19.2,2025-05-26 16:00:42
baik,5,5.19.2,2025-05-26 15:59:59
"Aduhhh saya sebagai driver merasa rugi sudah dapat orderan fiktif, nelfon CS Gojek disuruh nunggu lama habis pulsa 24rb. aduhhh apesss, kerja dapat untung ini malah rugi",1,5.19.2,2025-05-26 15:51:50
ok banget sikap driver nya.....,5,5.19.2,2025-05-26 15:48:50
baik,4,5.19.2,2025-05-26 15:12:30
sya melakukan pembayaran deposit melalui gopay...sampai skrg belum masuk padahal sudah sejam,1,5.19.2,2025-05-26 15:11:39
sudah sesuai dan bisa lebih ditingkatkan lagi promo2nya,4,5.18.2,2025-05-26 14:57:10
Paling Utama Yang Bisa Menemani Saya Setiap Saat,5,5.19.2,2025-05-26 14:52:19
tingkatkan kesejahteraan dan tunjangan Kesehatan Driver,5,5.19.2,2025-05-26 14:49:03
ok,5,5.19.2,2025-05-26 14:44:34
membantu,5,5.18.2,2025-05-26 14:43:14
baik,5,5.18.2,2025-05-26 14:34:46
"aplikasi sudah gak bagus lagi, makanan langsung di buatkan, dan kita tidak bisa minta driver keluhan ke rm parah aplikasi lebih jelek aplikasi ini",1,5.19.2,2025-05-26 14:28:29
oke,5,5.19.2,2025-05-26 14:25:58
mantap,5,5.19.2,2025-05-26 14:18:57
lemot parah aplikasinya,1,5.18.2,2025-05-26 14:13:44
kesel bgt mau tf sesama gojek aja pake kudu upgrade foto ktp ngeselin,1,5.19.2,2025-05-26 14:04:34
segala urusan jadi mudah,5,5.18.2,2025-05-26 13:58:20
Aplikasi nya makin hari makin payah terutama di bagian gofood nya untuk komplain masalah yg terjadi di gofood susah setengah mati.,1,5.11.1,2025-05-26 13:51:14
makanannya mantap... dan bumbu ga pelit. harga standar dan kenyang di perut......,5,5.19.2,2025-05-26 13:29:09
tambahin dana sebagai via pembayaran lah min aku mainnya dana,3,5.18.2,2025-05-26 13:13:57
aplikasi yang berguna di masa kini,5,5.19.2,2025-05-26 13:10:11
ok,5,5.19.2,2025-05-26 13:02:29
"Baik,jd lebih mudah order makanan thanks",5,5.19.2,2025-05-26 12:59:29
lancar jaya,5,5.19.2,2025-05-26 12:55:36
good,5,5.19.2,2025-05-26 12:07:47
matap,5,5.18.2,2025-05-26 11:51:07
mantap lakas banar sampai nya,5,5.12.1,2025-05-26 11:46:29
bagus cepat,5,5.18.2,2025-05-26 11:31:01
mantap dah,5,5.18.2,2025-05-26 11:30:26
mantab,5,5.19.2,2025-05-26 11:26:49
Ganti nomer hp susah .ganti plat montr susah,1,5.19.2,2025-05-26 11:18:11
good,5,5.19.2,2025-05-26 11:13:29
oke,5,5.19.2,2025-05-26 11:08:20
banyak promo,5,5.18.2,2025-05-26 11:07:16
diskon nya nggak bisa permanen gitu ya😭😭,2,5.19.2,2025-05-26 10:55:02
adanya gojek sangat membantu kami dalam kebutuhan perjalanan.,5,5.19.2,2025-05-26 10:51:07
ok bget,5,5.19.2,2025-05-26 10:44:23
AKUN SAYA TERGANTI EMAIL NYA DENGAN EMAIL ORG LAIN YG SAYA TIDAK KENAL,5,5.19.2,2025-05-26 10:37:51
sangat membantu,5,5.19.2,2025-05-26 10:33:13
tolong hilangin vermuk nya. karna hp saya kameranya rusak/eror tidak bisa login. harunya cukup otp pin dan otp dari email saja. kalau kameranya hp rusak tidak bisa login,1,4.19.3,2025-05-26 10:26:01
good,5,5.19.2,2025-05-26 10:11:24
sangat puas Alhamdulillah selalu dpt driver yg amanah,5,5.19.2,2025-05-26 10:10:48
gudd jobb,5,5.19.2,2025-05-26 10:07:52
ok,5,4.57.1,2025-05-26 09:48:04
selalu dapat promo,5,5.19.2,2025-05-26 09:33:49
"BELAKANGAN DRIVER SUKA MINTA UANG PARKIR KE KONSUMEN, HARAP PIHAK GOJEK TERTIBKAN MASALAH INI, KARNA BUKAN MSLH UANG NYA YANG HANYA 3RB, TAPI INI MENURUT SAYA PUNGLI.",1,5.19.2,2025-05-26 09:12:30
di kota saya lebih murah drpd kompetitor,5,5.19.2,2025-05-26 09:11:01
makyos mie nya enak banget mie nya juga banyak 😊,5,5.19.2,2025-05-26 09:06:34
bagus,5,5.19.2,2025-05-26 08:51:51
mangkin mudah kemAna mana,5,5.14.2,2025-05-26 08:44:23
ok,5,5.14.2,2025-05-26 08:39:57
goooddddd,5,5.18.2,2025-05-26 08:28:20
di Jakarta banyak preman berkedok ojol,1,5.2.1,2025-05-26 08:24:49
aplikasi yg sangat berguna bgt....utk urusan perut n perjalanan anda 😉😃,5,5.19.2,2025-05-26 08:23:11
mantab,5,5.18.2,2025-05-26 08:18:24
baik,5,5.19.2,2025-05-26 07:54:59
"Layanan sudah bagus, sudah mulai membaik di daerah saya",5,5.19.2,2025-05-26 07:50:40
good,5,5.19.2,2025-05-26 07:50:14
service memuaskan,5,5.19.2,2025-05-26 07:39:16
mantap,5,5.6.1,2025-05-26 07:33:50
sangat terbantu dan murah,5,5.18.2,2025-05-26 07:33:34
good,5,5.19.2,2025-05-26 07:31:59
mantap,5,5.14.2,2025-05-26 07:21:29
pelayanan bagus,5,5.19.2,2025-05-26 07:14:57
baguss,5,5.19.2,2025-05-26 06:57:01
sangat baik,5,5.19.2,2025-05-26 06:54:43
mantap,5,5.19.2,2025-05-26 06:40:55
perjalanan yang nyaman dengan gojeg hemat,5,5.19.2,2025-05-26 06:26:09
"SAYA SERING DAPAT DRIVER TIDAK DATANG KE LOKASI PENJEMPUTAN, BAIK GOCAR MAUPUN GOSEND. TIDAK BERGERAK. DIHUBUNGI TIDAK BISA. PARAH SEKALI!!",1,5.19.2,2025-05-26 06:24:07
Gopay diblokir dan tidak bisa digunakn,1,5.19.2,2025-05-26 06:09:42
mantab,5,5.18.2,2025-05-26 06:04:04
bagus dn trpercaya,5,5.19.2,2025-05-26 06:00:30
mantap naik gojek,5,5.19.2,2025-05-26 05:59:11
Sangatttt Bagusssss,5,5.19.2,2025-05-26 05:43:43
sangat membantu. sukses 💪,5,5.19.2,2025-05-26 05:33:46
terbaik,5,5.19.2,2025-05-26 05:21:09
baik,5,5.19.2,2025-05-26 05:13:57
"gausah kasih promo gede kalo driver ke customernya ujungnya ga sopan , kocak",3,5.18.2,2025-05-26 05:11:48
pelayanannya ok,5,5.19.2,2025-05-26 05:05:53
Driver nya baik,5,5.19.2,2025-05-26 05:03:28
ok bgt,5,5.19.2,2025-05-26 05:00:52
gacor,5,5.19.2,2025-05-26 04:55:04
"Driver nya sekarang pada malas malas bgt , orderan lama pick up nya apa lagi ambil fitur hemat , sering teman kejadian di mintai tip , tolong segera di tegur",3,5.18.2,2025-05-26 04:54:02
senang menggunakan gojek mudah dan amanah,5,5.19.2,2025-05-26 04:37:19
good,5,5.19.2,2025-05-26 04:33:46
belum support tablet,1,5.15.1,2025-05-26 04:13:27
mantap,5,5.19.2,2025-05-26 03:53:58
mempermudah perjalanan deh pokonya 🥰,5,5.19.2,2025-05-26 03:43:34
Terbaekk,5,5.19.2,2025-05-26 03:12:32
mantap,5,5.3.1,2025-05-26 03:09:33
bagus banget,5,5.18.2,2025-05-26 03:00:32
bagus,5,5.19.2,2025-05-26 02:59:25
puasss,5,5.19.2,2025-05-26 02:49:21
puas pelayanannya,5,5.19.2,2025-05-26 02:40:41
membantu,5,5.19.2,2025-05-26 02:37:20
sangat membatu,5,5.19.2,2025-05-26 02:37:05
kenapa saya tidak bisa download apk gojek. padahal saya dulu bisa download. tapi knpa sekarang saya tidak bisa download,5,5.17.1,2025-05-26 02:15:53
memudahkan urusan orang,5,5.19.2,2025-05-26 02:04:06
"mantap,tetap semangat drivernya",5,5.14.2,2025-05-26 02:00:51
aman,5,5.19.2,2025-05-26 01:52:08
oke,5,4.94.2,2025-05-26 01:51:58
aplikasi nya jelek sekali karena mahal,5,5.18.2,2025-05-26 01:40:45
mudah di akses ke tempat tujuan,5,5.19.2,2025-05-26 01:40:06
baik,5,5.7.2,2025-05-26 01:33:03
Bagus,5,5.19.2,2025-05-26 01:27:38
menyenangkan,5,5.19.2,2025-05-26 01:23:11
Terima kasih atas kepercayaannya untuk mengantarkan 😊,5,5.18.2,2025-05-26 01:21:00
ok,5,5.19.2,2025-05-26 01:19:24
simple cepat pas,5,5.18.2,2025-05-26 01:12:14
membatu banget,5,5.19.2,2025-05-26 01:11:39
"udah pakai expres tapi telat! buruk bgt, mana mahal. bye uninstall",1,5.18.2,2025-05-26 00:56:45
mantap,5,5.19.2,2025-05-26 00:52:11
sangat bermanfaat,5,5.18.2,2025-05-26 00:48:23
hatur nuhun goride sdh mengantar ank sy ke sekokah dg selamat,5,5.19.2,2025-05-26 00:12:45
super cepat kalau pesan makanan di gojek 🥰🥰,5,5.19.2,2025-05-25 23:58:08
cepat,5,5.19.2,2025-05-25 23:10:33
"driver trlalu byk minta cancel karena kejauhan katanya. Tambahan sudah beberapa kali driver cancel tanpa berkata apa2 padahal sudah nunggu lama.. Mngkin d tambah history di aplikasi costumer untuk orderan yg d cancel oleh driver jg,, biar bisa d report klo memang driver sprti prilaku yg d atas..",1,5.19.2,2025-05-25 21:54:20
"saya pelanggan dari tahun 2016. tahun terakhir ini saya pesan selalu pakai goride comfort kalo perlu. ternyata gk menjamin dapat driver yg oke ya. kecewa banget. udah 2x ini sampe akhirnya hilang kepercayaan sama gojek. bye gojek, mau pindah aja. terimakasih atas 9 tahun nya",1,5.1.2,2025-05-25 21:17:35
pas lagi butuh gojek malah g bisa yg katanya rame lah apa lah sistem,2,5.19.2,2025-05-25 20:55:06
cukup pemeliharaan perangkat jam sibuk tolol,1,5.19.2,2025-05-25 20:22:40
kebanyakan maintenance kalau lagi butuh pasti maintenance,1,5.19.2,2025-05-25 20:21:57
sangat bagus,5,5.19.2,2025-05-25 20:14:02
kok gini sii grep nya ngak bisa daftar katanya ada kendala tapi gitu trus,1,5.19.2,2025-05-25 19:58:49
jelek apk nya .aneh mentince nya lama gak guna,1,5.17.1,2025-05-25 19:57:47
pemeliharaan sistem nya lama lambatt,1,5.19.2,2025-05-25 19:50:16
sangat bagus,5,5.18.2,2025-05-25 19:48:19
"ga kurang ga lebih , kecewa maintenence terlalu lama ga sekalian di tutup aja itu aplikasinya",1,5.19.2,2025-05-25 18:47:35
semoga semakin baik,5,5.19.2,2025-05-25 18:47:16
sangat baik,5,5.19.2,2025-05-25 18:40:08
"MAINTENANCE NYA LAMA BANGET BISA 3 JAM AN,, ADUHHH",1,5.19.2,2025-05-25 18:36:17
malem gini LG laper buka gojek malah maintenance,5,5.18.2,2025-05-25 18:24:37
"tiba"" ga bisa dibua padahal baru upgrade",1,5.19.2,2025-05-25 18:19:18
Gojek Aplikasi Ojol Paling Bagus,1,5.19.2,2025-05-25 18:16:20
pemeliharaan terlalu lama..uang saya ngendap d gopay sedang kan saya lagi urgent untuk pakai uang nya,1,5.19.2,2025-05-25 18:08:54
aplikasi nya gabisa di buka nih knpa ya. kan mau order gojek aduhhh,2,5.19.2,2025-05-25 18:03:32
Gps udh nyala ga ke sambung tolol,5,5.19.2,2025-05-25 18:02:19
"gw mau balik kerja trus mau pesen ojek malah bilang sedan sibuk apaan dah, benerin sistem nya dong trus banyak maintance lgi",1,5.18.2,2025-05-25 17:51:08
aplikasinya lagi kenapa ya?,1,5.19.2,2025-05-25 17:45:48
"Berat mau pesan makan online sekarang, harga naik sekali dan dikit diskon buat yang udah lama serta serba paylater mana mau buat pay later juga susah, hah..",4,5.19.2,2025-05-25 17:38:11
giliran lgi kesusahan jam segini pulang kerja malah maintenance,1,5.18.2,2025-05-25 17:37:54
haduh ini kenapa lagi min? vcr off mau pesan gak bisa🥺,5,5.19.2,2025-05-25 17:26:38
drivermu pada kemana??? alasan banyak orderan 😂😂😂,1,5.19.2,2025-05-25 17:03:57
Aplikasi tolol Mau pesen gofod malah ga ada layanan apk mmk gausah Adain goofd kalo ga sedia ga buka layanan kirim,1,5.19.2,2025-05-25 17:01:20
selain gojek apasih ? mau coba pake yang lain.. driver sibuk/lagi rame/tidak dapat driver/ apa maunya ini,1,5.13.1,2025-05-25 16:54:31
suka error GAJELAS,1,5.19.2,2025-05-25 16:38:02
best,5,5.16.3,2025-05-25 16:16:47
keren,5,5.19.2,2025-05-25 16:00:57
membantu dalam keadaan dArurat,5,5.18.2,2025-05-25 15:52:00
ok,5,5.19.2,2025-05-25 15:26:42
good job,5,5.18.2,2025-05-25 15:20:58
sangat membantu,5,5.19.2,2025-05-25 15:04:12
Mempermudah,5,5.19.2,2025-05-25 15:03:07
"Kecewa banget, Ga sengaja ke tekan, ga bisa batalin pesan. Padahal hanya 5 detik. Sial banget sama Gojek.. padahal dikasih pilihan mau batalin apa tidak. Ga bisa di klik juga. Pokoknya kecewa banget. Padahal dari dulu sering pakai dan jadi mitra setia. Habis kali ini usaha banget, ga akan pakai Gojek.. selama masih ada pilihan bisa digunain. Padahal jasa mereka juga paling mahal dari jenis yang sama. 'Bantuan' yg anda maksud tidak membantu sama sekali, yg ada nanti tetap saya pihak di rugikan.",1,5.19.2,2025-05-25 15:01:02
ekonomis,5,5.19.2,2025-05-25 14:53:32
mantap,5,5.18.2,2025-05-25 14:41:48
kok gabisa pesan makanan,2,5.18.2,2025-05-25 14:36:05
bantuan Nya lama,1,5.19.2,2025-05-25 14:03:02
pengiriman cepat dan amanah,5,5.14.2,2025-05-25 13:59:18
sesuai kebutuhan,5,5.19.2,2025-05-25 13:50:06
driver sangat ramah,5,5.12.1,2025-05-25 13:27:18
ramah dan cepat,5,5.19.2,2025-05-25 13:25:29
senangya pakai ored tiap hari...,5,5.19.2,2025-05-25 13:13:14
